x,wind_speed_origin
15.5485,12.2807
15.6439,9.4868
15.7583,10.8684
15.7965,7.8289
15.93,10.8377
15.9682,9.7939
16.0827,10.9298
16.1971,7.7675
16.2353,7.2149
16.3498,6.7544
16.4452,8.1974
16.5787,5.6798
16.6932,8.0439
16.7313,9.2412
16.7695,7.8904
16.8839,9.1798
16.903,7.2456
16.9793,6.693
17.0366,8.8421
17.0747,9.7325
17.132,10.2851
17.1701,8.5044
17.3227,9.7325
17.38,8.3202
17.399,7.7368
17.4563,8.7193
17.5517,7.5219
17.628,7.0614
17.6471,6.2325
17.7806,5.864
17.8188,6.7851
17.8951,5.8947
17.9523,6.6623
18.0668,6.0175
18.1049,5.3114
18.1622,6.0482
18.2003,5.557
18.2766,5.25
18.3148,5.9868
18.3529,6.6623
18.372,4.8509
18.4293,5.6184
18.5246,4.2368
18.62,7.7675
18.7727,5.7719
18.7917,7.2149
18.8871,8.2281
18.9444,7.7061
18.9825,6.7851
19.0397,6.7544
19.0779,5.7412
19.1733,6.1096
19.2114,5.7105
19.345,7.7982
19.4213,7.2149
19.4976,7.1842
19.5548,6.4781
19.6884,6.7851
19.7075,5.7719
19.8219,5.25
19.8792,6.2939
19.9555,6.2632
19.9746,5.2193
20.089,6.7851
20.2226,5.7412
20.2607,5.2193
20.318,6.1404
20.4324,6.2632
20.4897,5.2193
20.5087,4.8202
20.5469,5.1886
20.5851,4.8202
20.6804,5.7105
20.7377,6.1711
20.9285,6.0789
21.0048,5.3728
21.062,5.9254
21.1765,5.8026
21.3291,10.8377
21.3482,9.886
21.3863,11.3596
21.4817,9.364
21.5771,10.8377
21.5962,8.8421
21.7107,8.2895
21.7488,10.8684
21.8442,11.3596
21.9968,8.3509
22.0731,10.8377
22.2639,6.8465
22.3402,9.2719
22.4547,7.3684
22.5692,8.2588
22.6645,6.693
22.6836,6.2325
22.8553,6.1404
22.8744,8.2895
22.9889,5.2807
23.1224,8.75
23.1987,7.2456
23.2369,5.25
23.3895,8.2895
23.4277,6.7544
23.5421,8.8421
23.6948,7.2763
23.752,7.7368
23.8092,6.8772
23.9046,7.7675
24,6.386
